,headline,cities,accented_city,latitude,longitude,countrycode,pop,cluster
124,"New Zika Case in Kota Kinabalu, Malaysia",Kota Kinabalu,Kota Kinabalu,5.9749,116.0724,MY,457326.0,1
125,New medicine wipes out West Nile Virus in Ventura,Ventura,Ventura,34.27834,-119.29316999999999,US,96769.0,0
126,Meningitis re-emerges in Nassau,Nassau,Nassau,25.05823,-77.34306,BS,227940.0,0
127,"Zika reaches Johor Bahru, Malaysia",Johor Bahru,Johor Bahru,1.4655,103.7578,MY,802489.0,1
128,Nha Trang Zika Outbreak,Nha Trang,Nha Trang,12.24507,109.19431999999999,VN,283441.0,1
129,First Zika Case in Cincinnati,Cincinnati,Cincinnati,39.127109999999995,-84.51439,US,296943.0,0
130,Molo Cholera Spread Causing Concern,Molo,Molo,-0.24849000000000002,35.73194,KE,27896.0,2
131,Norovirus Exposure in Hong Kong,Hong Kong,Hong Kong,22.27832,114.17468999999998,HK,7012738.0,1
132,19 new Zika Cases in Sengkang,Sengkang,Sengkang,-4.1279,120.0297,ID,59523.0,1
133,Zika cases concern Charlotte residents,Charlotte,Charlotte,35.227090000000004,-80.84313,US,827097.0,0
134,Batangas Tourism Takes a Hit as Virus Spreads,Batangas,Batangas,13.7567,121.0584,PH,237370.0,1
135,Johannesburg Patient in Critical Condition after Contracting Pneumonia,Johannesburg,Johannesburg,-26.202270000000002,28.04363,ZA,2026469.0,2
136,Outbreak of Zika in Bacolod City,Bacolod City,Bacolod City,10.66667,122.95,PH,454898.0,1
137,Respiratory Syncytial Virus Keeps Spreading in Masaya,Masaya,Masaya,11.97444,-86.09416999999999,NI,130113.0,0
138,Spike of Pneumonia Cases in Springfield,Springfield,Springfield,37.21533,-93.29824,US,166810.0,0
140,Zika case reported in Jupiter,Jupiter,Jupiter,26.93422,-80.09421,US,62707.0,0
141,Zika virus confirmed in Westchester,Westchester,Westchester,25.754820000000002,-80.32727,US,29862.0,0
142,Authorities are Worried about the Spread of Tuberculosis in Abuja,Abuja,Abuja,9.05785,7.495080000000001,NG,590400.0,2
143,Rumors about Hepatitis D Spreading in San Juan Capistrano have been Refuted,San Juan Capistrano,San Juan Capistrano,33.50169,-117.66255,US,36454.0,0
144,The Spread of Measles in Spokane has been Confirmed,Spokane,Spokane,47.659659999999995,-117.42908,US,213272.0,0
145,Zika alert for Rio Grande Valley residents,Rio Grande,Río Grande,-53.787690000000005,-67.70945999999999,AR,52681.0,0
146,Zika symptoms spotted in Colombo,Colombo,Colombo,6.93548,79.84868,LK,648034.0,1
147,West Nile Virus Outbreak in Louisville,Louisville,Louisville,38.25424,-85.75941,US,243639.0,0
148,New details in Baton Rouge cop killings,Baton Rouge,Baton Rouge,30.44332,-91.18746999999999,US,228590.0,0
149,Hepatitis B has not Left Florence,Florence,Florence,43.77925,11.246260000000001,IT,349296.0,2
150,More Zika patients reported in Pensacola,Pensacola,Pensacola,30.42131,-87.21691,US,53193.0,0
151,Outbreak of Zika in Corpus Christi,Corpus Christi,Corpus Christi,27.80058,-97.39638000000001,US,324074.0,0
152,How to Avoid Rhinovirus in Lemon Grove,Lemon Grove,Lemon Grove,32.74255,-117.03142,US,26709.0,0
153,Rumors about Rotavirus spreading in Huntsville have been refuted,Huntsville,Huntsville,34.7304,-86.58594000000001,US,190582.0,0
154,Rhinovirus has Arrived in Athens,Athens,Athens,37.98376,23.72784,GR,664046.0,2
155,Outbreak of Zika in Panama City,Panama City,Panama City,30.15946,-85.65983,US,38286.0,0
157,Measles has not Left Brooklyn,Brooklyn,Brooklyn,40.6501,-73.94958000000001,US,2300664.0,0
158,Escondido neighborhood to get sprayed for Zika virus,Escondido,Escondido,33.119209999999995,-117.08641999999999,US,151451.0,0
159,"Zika in Belmont, Belmont worry",Belmont,Belmont,37.52021,-122.2758,US,27218.0,0
160,Influenza has not Left Sacramento,Sacramento,Sacramento,38.58157,-121.4944,US,490712.0,0
161,Veracruz hit by Zika Concerns,Veracruz,Veracruz,19.18095,-96.1429,MX,428323.0,0
162,Case of Mumps Reported in Dayton,Dayton,Dayton,39.75895,-84.19161,US,140599.0,0
163,Authorities are Worried about the Spread of Dengue in Kingston,Kingston,Kingston,17.997020000000003,-76.79358,JM,937700.0,0
164,Gainesville Deals with Disease Concerns,Gainesville,Gainesville,29.651629999999997,-82.32483,US,130128.0,0
165,Montevideo Encounters Severe Symptoms of Rotavirus,Montevideo,Montevideo,-34.90328,-56.188159999999996,UY,1270737.0,0
166,Varicella Keeps Spreading in Detroit,Detroit,Detroit,42.33143,-83.04575,US,677116.0,0
167,Arhus is infested with Bronchitis,Arhus,Århus,56.15674,10.21076,DK,237551.0,2
168,Zika Troubles come to Niteroi,Niteroi,Niterói,-22.883329999999997,-43.103609999999996,BR,456456.0,0
169,Zika cases in Singapore reach 393,Singapore,Singapore,1.28967,103.85007,SG,3547809.0,1
170,Manhattan Residents Recieve HIV vaccine,Manhattan,Manhattan,40.783429999999996,-73.96625,US,1487536.0,0
171,Zika arrives in Miri,Miri,Miri,4.39928,113.99163,MY,228212.0,1
172,Rumors about Dengue Spreading in Syracuse have been Refuted,Syracuse,Syracuse,43.048120000000004,-76.14742,US,144142.0,0
173,Will Norovirus vaccine help Raleigh?,Raleigh,Raleigh,35.7721,-78.63861,US,451066.0,0
174,Lower Hospitalization in Auckland after Hepatitis D Vaccine becomes Mandatory,Auckland,Auckland,-36.84853,174.76349,NZ,417910.0,1
175,How to Avoid Gonorrhea in Shreveport,Shreveport,Shreveport,32.52515,-93.75018,US,197204.0,0
176,Ithaca is infested with Dengue,Ithaca,Ithaca,42.44063,-76.49661,US,30788.0,0
177,Will MCD vaccine help Strasbourg?,Strasbourg,Strasbourg,48.58392,7.7455300000000005,FR,274845.0,2
178,New medicine wipes out Measles in Fresno,Fresno,Fresno,36.74773,-119.77237,US,520052.0,0
179,BREAKING - Zika in Missoula,Missoula,Missoula,46.87215,-113.994,US,71022.0,0
180,Zika arrives in Santos,Santos,Santos,-23.960829999999998,-46.33361,BR,411403.0,0
181,Sick Livestock Leads to Serious Trouble for Belfort,Belfort,Belfort,47.642179999999996,6.85385,FR,54562.0,2
182,Hepatitis E has not Left Libreville,Libreville,Libreville,0.39241,9.453560000000001,GA,578156.0,2
183,New medicine wipes out Chikungunya in Tucson,Tucson,Tucson,32.221740000000004,-110.92648,US,531641.0,0
184,Norovirus has Arrived in Winnipeg,Winnipeg,Winnipeg,49.8844,-97.14704,CA,632063.0,0
185,Hepatitis B Comes to Kansas City,Kansas City,Kansas City,39.09973,-94.57857,US,475378.0,0
186,More Patients in Cambridge are Getting Diagnosed with Chickenpox,Cambridge,Cambridge,52.2,0.11667000000000001,GB,158434.0,2
187,Chikungunya Exposure in Toledo,Toledo,Toledo,41.663940000000004,-83.55521,US,279789.0,0
188,Is Lafayette prepared to combat Zika?,Lafayette,Lafayette,30.224090000000004,-92.01984,US,127657.0,0
189,Mecca tests new cure for Chikungunya,Mecca,Mecca,21.42664,39.82563,SA,1323624.0,2
190,Zika arrives in San Benito,San Benito,San Benito,16.91675,-89.91898,GT,30764.0,0
191,Syphilis Outbreak in Harrisburg,Harrisburg,Harrisburg,40.2737,-76.88441999999999,US,49081.0,0
192,Zika Arrives in North Miami,North Miami,North Miami,25.89009,-80.18670999999999,US,62435.0,0
193,Urbana Encounters Severe Symptoms of Meningitis,Urbana,Urbana,40.11059,-88.20727,US,42311.0,0
194,Pittsburgh Residents Recieve Norovirus vaccine,Pittsburgh,Pittsburgh,40.44062,-79.99589,US,304391.0,0
195,Chikungunya Hits Denver,Denver,Denver,39.73915,-104.9847,US,682545.0,0
196,Zika case recorded in Tunapuna >>,Tunapuna,Tunapuna,10.65245,-61.388780000000004,TT,17758.0,0
197,Spike of Respiratory Syncytial Virus Cases in Mandalay,Mandalay,Mandalay,21.974729999999997,96.08359,MM,1208099.0,1
198,HIV Keeps Spreading in Boulder,Boulder,Boulder,40.014990000000004,-105.27055,US,107349.0,0
199,More Zika patients reported in Joao Pessoa,Joao Pessoa,João Pessoa,-7.115,-34.86306,BR,650883.0,2
200,Will Tuberculosis vaccine help Rockville?,Rockville,Rockville,39.084,-77.15276,US,66980.0,0
201,Mad Cow Disease Re-emerges in Chatham,Chatham,Chatham,51.37891,0.52786,GB,75509.0,2
202,Zika Virus Arrives in Ontario,Ontario,Ontario,34.063340000000004,-117.65088999999999,US,171214.0,0
203,Mad Cow Disease Hits Naples,Naples,Naples,40.85216,14.26811,IT,959470.0,2
204,More Zika patients reported in Davao,Davao,Davao,7.073060000000001,125.61278,PH,1212504.0,1
205,The Spread of Chikungunya in Arcadia has been Confirmed,Arcadia,Arcadia,34.13973,-118.03533999999999,US,58408.0,0
206,Oxford tests new cure for HIV,Oxford,Oxford,51.75222,-1.25596,GB,171380.0,2
207,Outbreak of Zika in Stephenville,Stephenville,Stephenville,32.2207,-98.20226,US,20120.0,0
208,Providence Encounters Severe Symptoms of Dengue,Providence,Providence,41.82399,-71.41283,US,179207.0,0
209,Tests negative on Windsor Zika carriers,Windsor,Windsor,42.30008,-83.01654,CA,278013.0,0
210,Zika battle outlined at Valdosta meeting,Valdosta,Valdosta,30.833340000000003,-83.28031999999999,US,55724.0,0
211,Zika case reported in Coral Gables,Coral Gables,Coral Gables,25.72149,-80.26838000000001,US,51117.0,0
212,Hepatitis C Outbreak in Danbury,Danbury,Danbury,41.39482,-73.45401,US,84657.0,0
213,Chickenpox has Arrived in Chula Vista,Chula Vista,Chula Vista,32.64005,-117.0842,US,265757.0,0
215,Will HIV vaccine help Las Vegas?,Las Vegas,Las Vegas,36.17497,-115.13722,US,623747.0,0
216,Zika arrives in West Palm Beach,West Palm Beach,West Palm Beach,26.71534,-80.05337,US,106779.0,0
217,Mobile authorities confirmed the spread of Bronchitis,Mobile,Mobile,30.694359999999996,-88.04305,US,194288.0,0
218,Zika spreads to Daytona Beach,Daytona Beach,Daytona Beach,29.21081,-81.02283,US,64736.0,0
219,Lausanne Residents Recieve Meningitis vaccine,Lausanne,Lausanne,46.516000000000005,6.63282,CH,116751.0,2
220,Rhinovirus Comes to San Jose,San Jose,San Jose,37.33939,-121.89496000000001,US,1026908.0,0
221,Spike of Chlamydia Cases in Farmington,Farmington,Farmington,36.72806,-108.21869,US,42871.0,0
222,Authorities are Worried about the Spread of Rotavirus in Union,Union,Union,40.6976,-74.2632,US,56771.0,0
223,Rumors about Hepatitis D spreading in Albany have been refuted,Albany,Albany,42.65258,-73.75623,US,98469.0,0
224,Zika symptoms spotted in Bello,Bello,Bello,6.33732,-75.55795,CO,392939.0,0
225,Will Meningitis vaccine help Hamburg?,Hamburg,Hamburg,53.55073,9.99302,DE,1739117.0,2
226,Madera Patient in Critical Condition after Contracting Rabies,Madera,Madera,36.96134,-120.06071999999999,US,64208.0,0
227,Zika Virus Detected in Lubbock,Lubbock,Lubbock,33.57786,-101.85517,US,249042.0,0
228,Malaria re-emerges in Boise,Boise,Boise,43.6135,-116.20345,US,145987.0,0
229,Varicella re-emerges in Lagos,Lagos,Lagos,6.45407,3.3946699999999996,NG,9000000.0,2
230,Vericella spreading in Ibadan,Ibadan,Ibadan,7.377560000000001,3.90591,NG,3565108.0,2
231,Schools in Birmingham Closed Due to Measles Outbreak,Birmingham,Birmingham,52.48141999999999,-1.89983,GB,984333.0,2
232,How to Avoid Hepatitis B in Waldorf,Waldorf,Waldorf,38.624559999999995,-76.93914000000001,US,67752.0,0
235,Tuberculosis Outbreak in Newark,Newark,Newark,40.735659999999996,-74.17237,US,281944.0,0
236,Zika Virus Sparks 'International Concern',Sparks,Sparks,39.534909999999996,-119.75268999999999,US,96094.0,0
237,Spike of Chlamydia Cases in Berlin,Berlin,Berlin,52.52437,13.41053,DE,3426354.0,2
238,Zika-carrying mosquitoes discovered in Ardmore,Ardmore,Ardmore,34.17426,-97.14363,US,25176.0,0
239,"Zika Mosquitoes May Have Bred in Bromeliads, Florida Officials Say",Florida,Florida,21.52536,-78.22579,CU,63007.0,0
240,More Livestock in Fontainebleau are infected with Mad Cow Disease,Fontainebleau,Fontainebleau,48.409079999999996,2.7017700000000002,FR,19717.0,2
241,Frisco Woman Tests Positive For Zika Virus,Frisco,Frisco,33.15067,-96.82361,US,154407.0,0
242,Authorities are Worried about the Spread of Norovirus in Dubai,Dubai,Dubai,25.07725,55.30927,AE,2956587.0,2
243,Benton Residents Recieve Pneumonia vaccine,Benton,Benton,34.56454,-92.58683,US,34177.0,0
244,Case of Hepatitis A Reported in Calgary,Calgary,Calgary,51.05011,-114.08528999999999,CA,1019942.0,0
245,Zika Outbreak in Pinewood,Pinewood,Pinewood,25.86898,-80.21699,US,16520.0,0
246,Will Swine Flu vaccine help Ljubljana?,Ljubljana,Ljubljana,46.05108,14.50513,SI,272220.0,2
247,Bronchitis re-emerges in Tehran,Tehran,Tehran,35.694390000000006,51.42151,IR,7153309.0,2
249,Mad Cow case in Murcia,Murcia,Murcia,37.98704,-1.13004,ES,436870.0,2
250,Mad Cow Disease Spreads to Margate,Margate,Margate,51.38132,1.3861700000000001,GB,60134.0,2
251,Zika Strikes St. Petersburg,St. Petersburg,St. Petersburg,27.77086,-82.67926999999999,US,257083.0,0
253,Will the Mad Cow Outbreak Reach Vienna?,Vienna,Vienna,48.208490000000005,16.37208,AT,1691468.0,2
254,More Patients in Orange are Getting Diagnosed with Chickenpox,Orange,Orange,33.78779,-117.85311000000002,US,140992.0,0
255,Lower Hospitalization in Richmond after Mumps Vaccine becomes Mandatory,Richmond,Richmond,37.55376,-77.46025999999999,US,220289.0,0
256,Meningitis re-emerges in Medina,Medina,Medina,24.46861,39.61417,SA,1300000.0,2
258,Four cases of Zika in Hidalgo County,Hidalgo,Hidalgo,25.97205,-100.45029,MX,16524.0,0
259,Zika symptoms spotted in Hollywood,Hollywood,Hollywood,34.09834,-118.32673999999999,US,167664.0,0
260,Zika arrives in Oaxaca,Oaxaca,Oaxaca,17.06542,-96.72365,MX,255029.0,0
261,More people in Durham are infected with Chlamydia every year,Durham,Durham,35.99403,-78.89862,US,257636.0,0
262,Authorities are Worried about the Spread of Gonorrhea in Taoyuan City,Taoyuan City,Taoyuan City,24.993679999999998,121.29696000000001,TW,402014.0,1
263,Swine Flu re-emerges in La Jolla,La Jolla,La Jolla,32.84727,-117.2742,US,42808.0,0
264,Tuberculosis Outbreak in Hartford,Hartford,Hartford,41.763709999999996,-72.68509,US,124006.0,0
265,Rumors about Mumps Spreading in New Bedford have been Refuted,New Bedford,New Bedford,41.635259999999995,-70.92701,US,94958.0,0
266,Respiratory Syncytial Virus Vaccine is now Required in Tulsa,Tulsa,Tulsa,36.15398,-95.99277,US,403505.0,0
267,More people in Indianapolis are infected with Norovirus every year,Indianapolis,Indianapolis,39.76838,-86.15804,US,829718.0,0
268,Lower Hospitalization in Dhaka after Measles Vaccine becomes Mandatory,Dhaka,Dhāka,26.67479,85.16698000000001,IN,36111.0,1
269,Albany Residents Recieve Respiratory Syncytial Virus vaccine,Albany,Albany,42.65258,-73.75623,US,98469.0,0
271,Rotavirus Vaccine is now Required in Starkville,Starkville,Starkville,33.45049,-88.81961,US,25366.0,0
